pandas-dev/pandas;https://github.com/pandas-dev/pandas/issues/39283; TODO: get rid of these xfails;2021-01-19T22:43:44Z;Tue Jan 19 21:44:07 2021 +0100;/pandas/tests/strings/test_api.py;73;We probably can remove both checks, see #39092
cockroachdb/cockroach;https://github.com/cockroachdb/cockroach/issues/58453; Workaround for bazel auto-generated code. goimports does not automatically$n$ pick up the right packages when run within the bazel sandbox.;2021-01-05T16:49:30Z;Tue Jan 5 16:55:18 2021 -0600;/pkg/sql/colexec/colexecagg/hash_avg_agg.eg.go;26;Add a long-running migration that, for all descriptors, upgrades any old-style foreign keys on the descriptor.
cockroachdb/cockroach;https://github.com/cockroachdb/cockroach/issues/58453; Workaround for bazel auto-generated code. goimports does not automatically$n$ pick up the right packages when run within the bazel sandbox.;2021-01-05T16:49:30Z;Tue Jan 5 16:55:18 2021 -0600;/pkg/sql/colexec/colexecagg/sum_agg_tmpl.go;37;Add a long-running migration that, for all descriptors, upgrades any old-style foreign keys on the descriptor.
cockroachdb/cockroach;https://github.com/cockroachdb/cockroach/issues/58453; Workaround for bazel auto-generated code. goimports does not automatically$n$ pick up the right packages when run within the bazel sandbox.;2021-01-05T16:49:30Z;Tue Jan 5 16:55:18 2021 -0600;/pkg/sql/colexec/colexecagg/hash_sum_int_agg.eg.go;26;Add a long-running migration that, for all descriptors, upgrades any old-style foreign keys on the descriptor.
cockroachdb/cockroach;https://github.com/cockroachdb/cockroach/issues/58453; Workaround for bazel auto-generated code. goimports does not automatically$n$ pick up the right packages when run within the bazel sandbox.;2021-01-05T16:49:30Z;Tue Jan 5 16:55:18 2021 -0600;/pkg/sql/colexec/colexecagg/ordered_sum_int_agg.eg.go;26;Add a long-running migration that, for all descriptors, upgrades any old-style foreign keys on the descriptor.
cockroachdb/cockroach;https://github.com/cockroachdb/cockroach/issues/27292; The columns(s) contain a generator function.$n$ TODO(rytaft): We may want to determine which generator function the$n$ requested columns correspond to, and estimate the distinct count and$n$ null count based on the type of generator function and its parameters.;2018-07-09T17:58:02Z;Mon Jul 9 18:20:57 2018 -0400;/pkg/sql/opt/memo/statistics_builder.go;2277;From #27134. There are concerns about adding runtime to the acceptance tests on every PR (which is already the longest running one) as well as the complexity.$n$cc @tschottdorf
servo/servo;https://github.com/servo/servo/issues/22986; TODO(Hexcles): We might want to move the request into a different$n$ place, make it non-blocking, and handle errors better.;2019-03-06T20:06:39Z;Wed Mar 6 20:32:15 2019 -0500;/tests/wpt/web-platform-tests/tools/wptrunner/wptrunner/formatters/wptscreenshot.py;15;This means that all of the checks around pipeline visibility in Servo are currently redundant, since set_visible is the only method that sends the constellation the SetVisible message.
elastic/kibana;https://github.com/elastic/kibana/issues/68115; TODO: make non-optional once fields have been added to the results$n$ TODO: make non-optional once fields have been added to the results;2020-06-03T15:29:51Z;Wed Jun 3 15:23:54 2020 +0100;/x-pack/plugins/ml/common/types/categories.ts;20;The current naming represents how the data is displayed, but not what the data is. We should change that.
radareorg/radare2;https://github.com/radareorg/radare2/issues/3704; TODO: move this thing into the r_reg API;2015-11-18T10:33:29Z;Wed Nov 18 11:29:48 2015 +0100;/libr/core/cmd_debug.c;2080;and maybe just generalize the .. prefix inside rnum
openshift/origin;https://github.com/openshift/origin/issues/6874; TODO: verify MasterIndex is actually a bridge?;2016-01-28T15:13:02Z;Thu Jan 28 14:59:35 2016 -0500;/vendor/github.com/vishvananda/netlink/link_linux.go;1132;$SUBJECT, ensuring it works with origin types
openshift/origin;https://github.com/openshift/origin/issues/6874; TODO: verify MasterIndex is actually a bridge?;2016-01-28T15:13:02Z;Thu Jan 28 14:59:35 2016 -0500;/vendor/github.com/vishvananda/netlink/link_linux.go;1334;$SUBJECT, ensuring it works with origin types
numenta/nupic;https://github.com/numenta/nupic/issues/2022; TODO: Remove as part of issues #1419 and #1420;2015-04-09T20:47:19Z;Thu Apr 9 21:15:15 2015 -0500;/tests/unit/nupic/encoders/sdrcategory_test.py;202;Part of #2000
numenta/nupic;https://github.com/numenta/nupic/issues/2025; TODO: Remove as part of issues #1419 and #1420;2015-04-09T21:47:18Z;Thu Apr 9 21:15:15 2015 -0500;/tests/unit/nupic/encoders/sdrcategory_test.py;202;Part of #2000
numenta/nupic;https://github.com/numenta/nupic/issues/2027; TODO: Remove as part of issues #1419 and #1420;2015-04-09T21:57:34Z;Thu Apr 9 21:15:15 2015 -0500;/tests/unit/nupic/encoders/sdrcategory_test.py;202;Part of #2000
