microsoft/vscode;/src/vs/workbench/browser/parts/editor/editorStatus.ts;114554; TODO@rebornix TODO@jrieken debt: https://github.com/microsoft/vscode/issues/114554$n$ it's inside notebook editor;1075
cockroachdb/cockroach;/pkg/kv/kvserver/raft_transport.go;8630; Outgoing messages are queued per-node on a channel of this size.$n$$n$ TODO(peter): The normal send buffer size is larger than we would like. It$n$ is a temporary patch for the issue discussed in #8630 where$n$ Store.HandleRaftRequest can block applying a preemptive snapshot for a$n$ long enough period of time that grpc flow control kicks in and messages$n$ are dropped on the sending side.;38
cockroachdb/cockroach;/pkg/kv/kvserver/liveness/livenesspb/liveness.pb.go;50707; NodeLivenessStatus describes the status of a node from the perspective of the$n$ liveness system. See comment on LivenessStatus() for a description of the$n$ states.$n$$n$ TODO(irfansharif): We should reconsider usage of NodeLivenessStatus.$n$ It's unclear if the enum is well considered. It enumerates across two$n$ distinct set of things: the "membership" status (live/active,$n$ decommissioning, decommissioned), and the node "process" status (live,$n$ unavailable, available). It's possible for two of these "states" to be true,$n$ simultaneously (consider a decommissioned, dead node). It makes for confusing$n$ semantics, and the code attempting to disambiguate across these states$n$ (kvserver.LivenessStatus() for e.g.) seem wholly arbitrary.$n$$n$ See #50707 for more details.;87
cockroachdb/cockroach;/pkg/roachpb/data.pb.go;43192; txn is a copy of the transaction record.$n$ TODO(knz,andrei): We don't actually need the fully txn$n$ record. This can be simplified.$n$ See: https://github.com/cockroachdb/cockroach/issues/43192;1374
cockroachdb/cockroach;/pkg/storage/pebble.go;16750; TODO(bdarnell): The hard-coded 512 MiB is wrong; see$n$ https://github.com/cockroachdb/cockroach/issues/16750$n$ 512 MiB ;578
cockroachdb/cockroach;/pkg/sql/exec_util.go;32534; defaultIntSize controls how a "naked" INT type will be parsed.$n$ TODO(bob): Change this to 4 in v2.3; https://github.com/cockroachdb/cockroach/issues/32534$n$ TODO(bob): Remove or n-op this in v2.4: https://github.com/cockroachdb/cockroach/issues/32844;116
cockroachdb/cockroach;/pkg/sql/exec_util.go;32844; defaultIntSize controls how a "naked" INT type will be parsed.$n$ TODO(bob): Change this to 4 in v2.3; https://github.com/cockroachdb/cockroach/issues/32534$n$ TODO(bob): Remove or n-op this in v2.4: https://github.com/cockroachdb/cockroach/issues/32844;116
cockroachdb/cockroach;/pkg/sql/vars.go;32844; Controls the subsequent parsing of a "naked" INT type.$n$ TODO(bob): Remove or no-op this in v2.4: https://github.com/cockroachdb/cockroach/issues/32844;294
cockroachdb/cockroach;/pkg/sql/vars.go;32534; Only record when the value has been changed to a non-default$n$ value, since we really just want to know how useful int4-mode$n$ is. If we were to record counts for size.4 and size.8$n$ variables, we'd have to distinguish cases in which a session$n$ was opened in int8 mode and switched to int4 mode, versus ones$n$ set to int4 by a connection string.$n$ TODO(bob): Change to 8 in v2.3: https://github.com/cockroachdb/cockroach/issues/32534;310
cockroachdb/cockroach;/pkg/sql/crdb_internal.go;55284; TODO(arul): Explore updating the schema below to have key be an INT and$n$ statement_ids be INT[] now that we've moved to having uint64 as the type of$n$ StmtID and TxnKey. Issue #55284;953
cockroachdb/cockroach;/pkg/sql/serial.go;32534; If unique_rowid() or virtual sequences are requested, we have$n$ no choice but to use the full-width integer type, no matter$n$ which serial size was requested, otherwise the values will not fit.$n$$n$ TODO(bob): Follow up with https://github.com/cockroachdb/cockroach/issues/32534$n$ when the default is inverted to determine if we should also$n$ switch this behavior around.;89
